Region,Institution,Course,Status,Enrolled,Completed,"Completion Rate"
"Addis Ababa","Addis Ababa International School","Physics Foundations",published,1,0,0.0
"Addis Ababa","Addis Ababa International School","Mathematics 101",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Numerical Methods",published,0,0,0.0
"South Ethiopia","Hawassa Preparatory School","Computer Architecture",published,0,0,0.0
"South Ethiopia","Hawassa Preparatory School","Software Engineering",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Database Systems",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Operating Systems",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Digital Logic Design",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","English for Academic Purpose",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Calculus II",published,2,0,0.0
"South Ethiopia","Hawassa Preparatory School","Data Structures",published,0,0,0.0
"South Ethiopia","Hawassa Preparatory School","Discrete Mathematics",published,0,0,0.0
"South Ethiopia","Hawassa Preparatory School","Introduction to Computer Science",published,1,0,0.0
"South Ethiopia","Hawassa Preparatory School","Data Structures",published,1,0,0.0
